# This is a continuation of trace file C:\1c\1cedtstart\projects\Dev2\.metadata\trace.log.bak_2
# version: 1.1
# verbose: true
# Time of creation: 2024-11-06 15:09:30.482
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.489 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ШаблоныСУЗ/Forms/ФормаГруппы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.490 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ГруппыДоступа/Forms/ФормаСписка/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.490 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ИнтернетПоддержкаИСервисы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.491 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/СотрудникиСУО/Forms/ФормаСпискаСотрудников/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.491 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/НаборыДополнительныхРеквизитовИСведений/Forms/ФормаГруппы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.491 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Documents/ЗапросНаОбучениеСУО/Forms/ФормаДокумента/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.492 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/УчебныеБазыСУЗ/Forms/ФормаПерсональныеУчебныеБазы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.492 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Documents/НовостьСУО/Forms/ФормаВыбора/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.492 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Documents/ПроведениеПрограммыОбученияСУО/Forms/ФормаДокумента/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.493 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/ПубличныеИдентификаторыСинхронизируемыхОбъектов/Forms/ФормаЗаписи/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.493 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/СтраницыЭлементовЭлектронныхКурсов/Forms/ФормаВыбораГруппы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.493 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ЭлектронныеКурсы/Forms/ФормаВыбора/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.494 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/ExchangePlans/ОбменСообщениями/Forms/ФормаСписка/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.494 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/Сканирование/Forms/НастройкаСканированияНаСеанс/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.495 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/КаталогПрограммОбученияСУО/Forms/ФормаГруппы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.495 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ОтборыПользователейСУО/Forms/ФормаЭлемента/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.496 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/CommonForms/НастройкаОтправкиSMS/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.496 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/ИнтерактивноеИзменениеВыгрузки/Forms/Форма/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.497 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/СценарииОбменовДанными/Forms/НастройкаРасписанияОбменовДанными/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.497 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/ExchangePlans/ОбменМатериаламиСУЗ/Forms/ФормаЭкспортаSCORM/Form.form |
